date,open,close,high,low,vol,amount,date,code
2024-01-02,2.53,2.53,2.53,2.53,4506.0,1140018.0,2024-01-02,002021
2024-01-03,2.4,2.4,2.4,2.4,1829.0,438960.0,2024-01-03,002021
2024-01-04,2.28,2.28,2.28,2.28,4741.0,1080948.0,2024-01-04,002021
2024-01-05,2.17,2.17,2.17,2.17,353233.0,76651560.0,2024-01-05,002021
2024-01-08,2.08,2.06,2.11,2.06,802811.0,166140304.0,2024-01-08,002021
2024-01-09,1.98,1.96,2.0,1.96,1042269.0,205126768.0,2024-01-09,002021
2024-01-10,2.0,2.01,2.06,1.96,1416811.0,287784672.0,2024-01-10,002021
2024-01-11,1.95,1.97,2.01,1.91,998705.0,194766016.0,2024-01-11,002021
2024-01-12,1.97,2.04,2.07,1.97,901219.0,182034560.0,2024-01-12,002021
2024-01-15,2.02,2.02,2.06,2.0,594746.0,120587496.0,2024-01-15,002021
2024-01-16,2.03,1.96,2.04,1.94,625334.0,123499184.0,2024-01-16,002021
2024-01-17,1.96,1.94,1.99,1.93,426403.0,83456136.0,2024-01-17,002021
2024-01-18,1.92,1.92,1.94,1.84,690208.0,129911328.0,2024-01-18,002021
2024-01-19,1.92,1.98,2.0,1.91,485492.0,94857128.0,2024-01-19,002021
2024-01-22,1.97,1.97,2.02,1.93,534568.0,105330112.0,2024-01-22,002021
2024-01-23,1.95,1.98,1.98,1.92,327149.0,63860068.0,2024-01-23,002021
2024-01-24,1.99,2.07,2.08,1.99,643461.0,132574072.0,2024-01-24,002021
2024-01-25,2.05,2.07,2.07,2.02,539975.0,110509672.0,2024-01-25,002021
2024-01-26,2.06,2.11,2.16,2.05,466320.0,98100576.0,2024-01-26,002021
2024-01-29,2.09,2.22,2.22,2.07,605980.0,130805176.0,2024-01-29,002021
2024-01-30,2.19,2.11,2.21,2.11,520969.0,111944136.0,2024-01-30,002021
2024-01-31,2.06,2.0,2.06,2.0,313303.0,63105048.0,2024-01-31,002021
2024-02-01,1.9,1.9,1.91,1.9,337032.0,64037944.0,2024-02-01,002021
2024-02-02,1.83,1.81,1.86,1.81,376403.0,68817440.0,2024-02-02,002021
2024-02-05,1.72,1.72,1.72,1.72,24135.0,4151220.0,2024-02-05,002021
2024-02-06,1.63,1.63,1.67,1.63,440356.0,72000624.0,2024-02-06,002021
2024-02-07,1.65,1.55,1.71,1.55,618500.0,100528840.0,2024-02-07,002021
2024-02-08,1.48,1.57,1.6,1.47,567228.0,85318504.0,2024-02-08,002021
2024-02-19,1.58,1.6,1.62,1.53,433118.0,68456328.0,2024-02-19,002021
2024-02-20,1.62,1.68,1.68,1.6,347699.0,57395668.0,2024-02-20,002021
2024-02-21,1.7,1.67,1.75,1.67,549999.0,93893216.0,2024-02-21,002021
2024-02-22,1.66,1.69,1.69,1.64,355522.0,59432228.0,2024-02-22,002021
2024-02-23,1.69,1.72,1.74,1.66,423687.0,72235536.0,2024-02-23,002021
