date,open,close,high,low,vol,amount,date,code
2024-01-02,10.62,10.71,10.83,10.57,152986.0,164113088.0,2024-01-02,002106
2024-01-03,10.65,10.53,10.7,10.43,106775.0,112448224.0,2024-01-03,002106
2024-01-04,10.47,10.38,10.5,10.33,89349.0,92722456.0,2024-01-04,002106
2024-01-05,10.4,10.17,10.49,10.11,90250.0,92779912.0,2024-01-05,002106
2024-01-08,10.15,9.79,10.15,9.78,86851.0,86308464.0,2024-01-08,002106
2024-01-09,9.85,9.79,10.02,9.71,82028.0,80723800.0,2024-01-09,002106
2024-01-10,9.82,9.67,9.82,9.51,69654.0,67144808.0,2024-01-10,002106
2024-01-11,9.64,9.82,9.84,9.59,60339.0,58858164.0,2024-01-11,002106
2024-01-12,9.77,9.66,9.88,9.65,53821.0,52303416.0,2024-01-12,002106
2024-01-15,9.64,9.74,9.76,9.55,54939.0,53197420.0,2024-01-15,002106
2024-01-16,9.76,9.62,9.76,9.46,66720.0,63898352.0,2024-01-16,002106
2024-01-17,9.62,9.37,9.63,9.37,55474.0,52678580.0,2024-01-17,002106
2024-01-18,9.33,9.28,9.4,9.01,99145.0,91088056.0,2024-01-18,002106
2024-01-19,9.3,9.22,9.4,9.19,56893.0,52800604.0,2024-01-19,002106
2024-01-22,9.24,8.66,9.28,8.59,83447.0,74383224.0,2024-01-22,002106
2024-01-23,8.63,8.7,8.79,8.41,102511.0,88612240.0,2024-01-23,002106
2024-01-24,8.73,8.85,8.88,8.46,75552.0,65701388.0,2024-01-24,002106
2024-01-25,8.85,9.22,9.24,8.74,85760.0,77607808.0,2024-01-25,002106
2024-01-26,9.28,9.1,9.32,9.05,72398.0,66519396.0,2024-01-26,002106
2024-01-29,9.12,8.74,9.19,8.69,98623.0,86937984.0,2024-01-29,002106
2024-01-30,8.52,8.4,8.73,8.38,95699.0,81754008.0,2024-01-30,002106
2024-01-31,8.32,8.0,8.41,7.98,127687.0,104113664.0,2024-01-31,002106
2024-02-01,8.01,7.96,8.14,7.8,123193.0,98264960.0,2024-02-01,002106
2024-02-02,8.02,7.51,8.1,7.2,137297.0,105373616.0,2024-02-02,002106
2024-02-05,7.45,6.89,7.5,6.76,221929.0,154649296.0,2024-02-05,002106
2024-02-06,6.8,7.18,7.27,6.55,200736.0,138607152.0,2024-02-06,002106
