date,open,close,high,low,vol,amount,date,code
2024-01-02,114.44,114.47,115.0,110.84,3931.0,44456908.0,2024-01-02,301391
2024-01-03,112.03,113.01,115.78,112.03,4568.0,52043700.0,2024-01-03,301391
2024-01-04,113.01,116.75,120.6,112.56,8527.0,99742024.0,2024-01-04,301391
2024-01-05,116.23,110.55,116.62,109.46,7932.0,89418656.0,2024-01-05,301391
2024-01-08,110.49,109.98,112.15,108.66,4279.0,47168004.0,2024-01-08,301391
2024-01-09,110.01,111.0,116.0,110.01,6721.0,76003616.0,2024-01-09,301391
2024-01-10,110.87,109.04,112.04,108.85,3567.0,39155256.0,2024-01-10,301391
2024-01-11,109.04,112.32,114.16,108.07,5980.0,66558288.0,2024-01-11,301391
2024-01-12,112.5,112.09,114.72,112.0,4433.0,50357680.0,2024-01-12,301391
2024-01-15,112.09,112.9,114.55,110.8,2536.0,28662948.0,2024-01-15,301391
2024-01-16,113.0,114.0,114.03,110.66,2884.0,32359120.0,2024-01-16,301391
2024-01-17,113.15,112.57,114.0,111.2,3054.0,34373776.0,2024-01-17,301391
2024-01-18,112.57,112.88,113.0,106.5,5384.0,58855648.0,2024-01-18,301391
2024-01-19,112.1,109.77,112.18,108.2,7294.0,80302344.0,2024-01-19,301391
2024-01-22,109.77,103.48,109.77,102.88,4224.0,44357628.0,2024-01-22,301391
2024-01-23,103.3,105.81,106.45,99.22,5914.0,60857728.0,2024-01-23,301391
2024-01-24,105.79,103.31,105.79,100.12,4075.0,41752336.0,2024-01-24,301391
2024-01-25,103.0,104.72,108.22,100.2,5415.0,56145200.0,2024-01-25,301391
2024-01-26,104.68,101.11,104.79,98.01,8555.0,85733384.0,2024-01-26,301391
2024-01-29,99.49,93.66,99.9,92.28,9953.0,94298096.0,2024-01-29,301391
2024-01-30,95.0,99.39,102.0,94.0,11077.0,110902432.0,2024-01-30,301391
2024-01-31,98.98,96.7,101.83,95.54,8940.0,88628856.0,2024-01-31,301391
2024-02-01,96.0,102.88,104.96,94.61,8684.0,87953792.0,2024-02-01,301391
2024-02-02,102.5,99.79,104.9,97.68,5807.0,59068692.0,2024-02-02,301391
2024-02-05,97.78,93.58,100.28,90.51,10281.0,97555112.0,2024-02-05,301391
2024-02-06,91.99,103.07,105.51,91.0,7740.0,76925656.0,2024-02-06,301391
2024-02-07,102.5,115.55,120.0,101.26,17114.0,194103792.0,2024-02-07,301391
2024-02-08,115.0,118.0,119.86,112.83,12801.0,148856256.0,2024-02-08,301391
2024-02-19,117.58,116.5,119.6,112.5,9284.0,107437088.0,2024-02-19,301391
2024-02-20,115.78,112.26,115.78,109.56,12022.0,134015976.0,2024-02-20,301391
