date,open,close,high,low,vol,amount,date,code
2024-01-02,27.61,27.31,27.95,27.31,17331.0,47721136.0,2024-01-02,300662
2024-01-03,27.24,26.05,27.37,25.89,28875.0,76279064.0,2024-01-03,300662
2024-01-04,26.08,25.99,26.16,25.54,17467.0,45240716.0,2024-01-04,300662
2024-01-05,25.98,25.33,26.17,25.15,19855.0,50775788.0,2024-01-05,300662
2024-01-08,25.42,25.1,25.8,25.1,20756.0,52947880.0,2024-01-08,300662
2024-01-09,25.15,25.67,26.09,24.93,26912.0,69020792.0,2024-01-09,300662
2024-01-10,25.67,25.64,26.08,24.95,22023.0,56120868.0,2024-01-10,300662
2024-01-11,25.64,25.98,26.24,25.4,15869.0,40977536.0,2024-01-11,300662
2024-01-12,25.86,25.52,26.06,25.29,17540.0,45040636.0,2024-01-12,300662
2024-01-15,25.52,25.7,26.05,25.28,16418.0,42328744.0,2024-01-15,300662
2024-01-16,25.48,25.62,26.08,25.15,19174.0,49012816.0,2024-01-16,300662
2024-01-17,25.53,24.97,25.82,24.83,18720.0,47294068.0,2024-01-17,300662
2024-01-18,24.81,24.19,24.81,23.56,25265.0,60942464.0,2024-01-18,300662
2024-01-19,24.28,23.95,24.62,23.7,17879.0,42914280.0,2024-01-19,300662
2024-01-22,23.73,22.59,24.35,22.22,29595.0,68634568.0,2024-01-22,300662
2024-01-23,22.41,22.72,22.84,21.79,29991.0,66875548.0,2024-01-23,300662
2024-01-24,22.83,22.78,23.14,21.91,18830.0,42400852.0,2024-01-24,300662
2024-01-25,22.8,23.07,23.44,22.09,18568.0,42509008.0,2024-01-25,300662
2024-01-26,23.01,22.83,23.37,22.72,21332.0,49089804.0,2024-01-26,300662
2024-01-29,22.63,21.92,23.17,21.85,19721.0,44006052.0,2024-01-29,300662
2024-01-30,22.16,21.48,22.16,21.0,19007.0,41104896.0,2024-01-30,300662
2024-01-31,21.38,20.45,21.41,20.35,33458.0,69378648.0,2024-01-31,300662
2024-02-01,20.38,20.12,20.7,19.63,24274.0,48955004.0,2024-02-01,300662
2024-02-02,20.5,18.8,20.5,18.04,30391.0,58293088.0,2024-02-02,300662
2024-02-05,19.09,17.51,19.16,16.93,48409.0,85426888.0,2024-02-05,300662
2024-02-06,17.17,17.9,18.37,16.63,59183.0,103185872.0,2024-02-06,300662
2024-02-07,17.9,18.96,19.15,17.71,46060.0,85760632.0,2024-02-07,300662
2024-02-08,18.91,20.71,21.22,18.91,47744.0,98156072.0,2024-02-08,300662
2024-02-19,20.5,19.95,20.62,19.56,56407.0,112821832.0,2024-02-19,300662
2024-02-20,19.8,20.64,20.77,19.62,40799.0,82481592.0,2024-02-20,300662
2024-02-21,20.42,20.71,21.41,20.15,27401.0,57189440.0,2024-02-21,300662
2024-02-22,20.7,21.12,21.22,20.6,16129.0,33874896.0,2024-02-22,300662
2024-02-23,21.19,21.59,21.66,20.85,18978.0,40252476.0,2024-02-23,300662
2024-02-26,21.51,21.75,22.25,21.23,19700.0,42741452.0,2024-02-26,300662
2024-02-27,21.6,22.29,22.29,21.52,18845.0,41409720.0,2024-02-27,300662
2024-02-28,22.39,21.08,23.0,20.97,32576.0,71414280.0,2024-02-28,300662
2024-02-29,20.88,21.4,21.57,20.68,27307.0,57981952.0,2024-02-29,300662
2024-03-01,21.4,22.0,22.12,21.23,36003.0,78600792.0,2024-03-01,300662
2024-03-04,21.82,21.35,22.14,20.99,33429.0,71176488.0,2024-03-04,300662
2024-03-05,21.35,20.9,21.35,20.7,26118.0,54608888.0,2024-03-05,300662
2024-03-06,20.8,20.69,21.15,20.38,28580.0,59356580.0,2024-03-06,300662
2024-03-07,20.76,20.03,20.94,20.03,19909.0,40697188.0,2024-03-07,300662
2024-03-08,20.38,20.24,20.38,19.91,15219.0,30680606.0,2024-03-08,300662
2024-03-11,20.24,20.7,20.7,20.15,21193.0,43438268.0,2024-03-11,300662
2024-03-12,20.76,21.5,21.66,20.57,40518.0,85725432.0,2024-03-12,300662
2024-03-13,22.74,25.03,25.8,22.74,134323.0,331300704.0,2024-03-13,300662
2024-03-14,23.5,23.82,24.57,23.23,102963.0,246183696.0,2024-03-14,300662
2024-03-15,23.47,23.27,24.0,22.89,60589.0,141302640.0,2024-03-15,300662
2024-03-18,23.17,23.18,23.4,22.78,60116.0,138337648.0,2024-03-18,300662
2024-03-19,23.08,22.82,23.16,22.79,41051.0,94069400.0,2024-03-19,300662
2024-03-20,22.65,23.05,23.28,22.1,42920.0,98435056.0,2024-03-20,300662
2024-03-21,22.89,22.34,23.25,22.3,42714.0,96711144.0,2024-03-21,300662
2024-03-22,22.27,21.39,22.35,21.0,50136.0,108245584.0,2024-03-22,300662
2024-03-25,21.17,20.45,21.38,20.45,35662.0,74443152.0,2024-03-25,300662
2024-03-26,20.44,20.0,20.65,19.5,48962.0,97527008.0,2024-03-26,300662
2024-03-27,19.8,19.0,19.97,18.92,30731.0,59733148.0,2024-03-27,300662
2024-03-28,18.96,19.66,19.96,18.95,31296.0,61073704.0,2024-03-28,300662
2024-03-29,19.75,19.5,19.75,19.08,22860.0,44203380.0,2024-03-29,300662
2024-04-01,19.56,21.05,21.18,19.5,61936.0,127963552.0,2024-04-01,300662
2024-04-02,21.2,20.71,21.3,20.5,32387.0,67240000.0,2024-04-02,300662
2024-04-03,20.64,20.19,20.64,20.01,21487.0,43425792.0,2024-04-03,300662
2024-04-08,20.19,19.35,20.27,19.32,18584.0,36529792.0,2024-04-08,300662
2024-04-09,19.53,20.5,21.0,19.28,43438.0,87891608.0,2024-04-09,300662
2024-04-10,20.4,19.79,20.49,19.5,20930.0,41548736.0,2024-04-10,300662
2024-04-11,19.6,20.01,20.37,19.5,20600.0,41053492.0,2024-04-11,300662
2024-04-12,20.08,19.72,20.13,19.58,19023.0,37704468.0,2024-04-12,300662
2024-04-15,19.74,19.1,19.83,18.72,29628.0,56945984.0,2024-04-15,300662
2024-04-16,19.07,17.85,19.07,17.76,30254.0,54920404.0,2024-04-16,300662
2024-04-17,18.13,18.63,19.19,18.05,43521.0,81614936.0,2024-04-17,300662
2024-04-18,18.86,18.44,18.86,18.13,20954.0,38862788.0,2024-04-18,300662
2024-04-19,18.44,18.16,18.44,17.92,19951.0,36203996.0,2024-04-19,300662
2024-04-22,18.08,18.43,18.71,17.62,32793.0,60296720.0,2024-04-22,300662
2024-04-23,18.43,19.1,19.36,18.43,25022.0,47388832.0,2024-04-23,300662
2024-04-24,18.99,19.25,19.38,18.8,20546.0,39357032.0,2024-04-24,300662
2024-04-25,19.5,19.21,19.5,18.96,14089.0,27119732.0,2024-04-25,300662
2024-04-26,19.03,19.86,19.94,19.01,29537.0,57899184.0,2024-04-26,300662
2024-04-29,20.22,20.71,20.91,19.94,28454.0,58515372.0,2024-04-29,300662
2024-04-30,20.76,20.73,20.93,20.43,23745.0,49057684.0,2024-04-30,300662
2024-05-06,20.73,21.83,21.97,20.73,47691.0,102811920.0,2024-05-06,300662
2024-05-07,22.0,23.9,23.99,22.0,89491.0,208659632.0,2024-05-07,300662
2024-05-08,23.3,23.01,23.57,22.85,40651.0,94089008.0,2024-05-08,300662
2024-05-09,23.01,23.29,23.64,22.82,22876.0,53283676.0,2024-05-09,300662
2024-05-10,23.36,22.54,23.49,22.51,28680.0,65258316.0,2024-05-10,300662
2024-05-13,22.88,22.52,22.88,21.95,21779.0,48769908.0,2024-05-13,300662
2024-05-14,22.43,22.65,22.83,22.34,14134.0,31910264.0,2024-05-14,300662
2024-05-15,22.61,23.02,24.11,22.4,40987.0,95526272.0,2024-05-15,300662
2024-05-16,23.0,22.86,23.41,22.8,16223.0,37430608.0,2024-05-16,300662
2024-05-17,23.0,23.3,23.36,22.68,17158.0,39605668.0,2024-05-17,300662
2024-05-20,23.31,23.04,23.79,22.95,20329.0,47289504.0,2024-05-20,300662
2024-05-21,22.98,22.82,23.27,22.61,13652.0,31084102.0,2024-05-21,300662
2024-05-22,22.68,22.95,23.23,22.68,15992.0,36731084.0,2024-05-22,300662
2024-05-23,22.94,22.46,23.2,22.42,11515.0,26110698.0,2024-05-23,300662
2024-05-24,22.36,22.19,22.87,22.1,17530.0,39183260.0,2024-05-24,300662
2024-05-27,22.21,22.53,22.53,21.76,14673.0,32519252.0,2024-05-27,300662
2024-05-28,22.19,21.7,22.48,21.69,21978.0,48336396.0,2024-05-28,300662
2024-05-29,22.22,22.1,22.3,21.26,28089.0,61473032.0,2024-05-29,300662
2024-05-30,21.94,21.9,22.0,21.56,17422.0,38001008.0,2024-05-30,300662
2024-05-31,21.9,21.89,22.12,21.61,13406.0,29318004.0,2024-05-31,300662
2024-06-03,22.12,21.6,22.15,21.32,16710.0,36063932.0,2024-06-03,300662
2024-06-04,21.5,21.63,21.77,21.25,13258.0,28530862.0,2024-06-04,300662
2024-06-05,21.76,21.1,21.98,21.1,15314.0,32987370.0,2024-06-05,300662
2024-06-06,21.21,20.1,21.32,19.89,30573.0,62007040.0,2024-06-06,300662
2024-06-07,20.18,19.96,20.65,19.84,21652.0,43503196.0,2024-06-07,300662
2024-06-11,19.88,19.88,20.19,19.2,22678.0,44546128.0,2024-06-11,300662
2024-06-12,19.55,19.82,20.28,19.55,19558.0,39085060.0,2024-06-12,300662
2024-06-13,19.8,19.6,19.89,19.28,21988.0,42992444.0,2024-06-13,300662
2024-06-14,19.58,19.36,19.64,19.11,26516.0,51290204.0,2024-06-14,300662
2024-06-17,19.37,18.71,19.37,18.59,51625.0,97393056.0,2024-06-17,300662
2024-06-18,18.69,18.31,18.86,18.04,52318.0,95292136.0,2024-06-18,300662
2024-06-19,18.28,18.04,18.34,18.0,30199.0,54754724.0,2024-06-19,300662
2024-06-20,18.0,17.72,18.22,17.63,34486.0,61640936.0,2024-06-20,300662
2024-06-21,17.72,17.38,17.8,17.12,39982.0,69787336.0,2024-06-21,300662
2024-06-24,17.06,16.34,17.29,16.27,67723.0,112028736.0,2024-06-24,300662
2024-06-25,16.19,16.26,16.5,16.07,35113.0,57032400.0,2024-06-25,300662
2024-06-26,16.23,16.63,16.63,16.08,46539.0,76049168.0,2024-06-26,300662
2024-06-27,16.57,15.97,16.66,15.91,52663.0,85282232.0,2024-06-27,300662
2024-06-28,15.96,16.13,16.7,15.93,54989.0,89706264.0,2024-06-28,300662
2024-07-01,16.08,15.76,16.12,15.56,48717.0,76714192.0,2024-07-01,300662
2024-07-02,15.7,15.65,15.92,15.57,34396.0,54204196.0,2024-07-02,300662
2024-07-03,15.67,15.49,15.8,15.49,26594.0,41547236.0,2024-07-03,300662
2024-07-04,15.46,14.98,15.58,14.89,37915.0,57633200.0,2024-07-04,300662
2024-07-05,14.94,15.27,15.34,14.74,34023.0,51278384.0,2024-07-05,300662
2024-07-08,15.16,14.57,15.24,14.49,36233.0,53369096.0,2024-07-08,300662
2024-07-09,14.59,14.71,14.78,14.27,34104.0,49669476.0,2024-07-09,300662
2024-07-10,14.7,14.55,15.01,14.5,28826.0,42405772.0,2024-07-10,300662
2024-07-11,14.7,15.43,15.46,14.68,51601.0,77880384.0,2024-07-11,300662
2024-07-12,15.34,15.68,16.36,15.11,71777.0,111667640.0,2024-07-12,300662
2024-07-15,15.39,14.93,15.5,14.9,62839.0,94752784.0,2024-07-15,300662
2024-07-16,14.94,14.87,15.0,14.6,40124.0,59299372.0,2024-07-16,300662
2024-07-17,14.8,15.68,15.94,14.64,84049.0,129541880.0,2024-07-17,300662
2024-07-18,15.22,15.26,15.29,14.64,78483.0,117496600.0,2024-07-18,300662
2024-07-19,15.16,15.2,15.43,14.9,49658.0,75339544.0,2024-07-19,300662
2024-07-22,15.11,14.98,15.25,14.89,35154.0,52802440.0,2024-07-22,300662
2024-07-23,14.99,14.38,15.09,14.37,42583.0,62491912.0,2024-07-23,300662
2024-07-24,14.36,13.9,14.5,13.82,55227.0,77858240.0,2024-07-24,300662
2024-07-25,13.87,14.11,14.42,13.79,38430.0,54340624.0,2024-07-25,300662
2024-07-26,14.16,14.18,14.45,14.1,27192.0,38724792.0,2024-07-26,300662
2024-07-29,14.2,13.86,14.26,13.82,35849.0,50034920.0,2024-07-29,300662
2024-07-30,13.82,14.03,14.09,13.73,28392.0,39549388.0,2024-07-30,300662
2024-07-31,13.96,14.93,15.0,13.9,66446.0,97412864.0,2024-07-31,300662
2024-08-01,14.86,14.94,14.99,14.6,48104.0,71251784.0,2024-08-01,300662
2024-08-02,14.75,15.33,15.41,14.7,73092.0,110657968.0,2024-08-02,300662
