date,open,close,high,low,vol,amount,date,code
2024-01-02,20.8,21.4,21.59,20.8,13265.0,28298406.0,2024-01-02,001231
2024-01-03,21.56,21.61,21.64,21.24,10685.0,22935028.0,2024-01-03,001231
2024-01-04,21.51,21.59,21.77,21.43,7681.0,16597138.0,2024-01-04,001231
2024-01-05,21.5,21.34,21.77,21.23,7249.0,15581935.0,2024-01-05,001231
2024-01-08,21.21,20.87,21.45,20.84,7926.0,16723750.0,2024-01-08,001231
2024-01-09,20.82,21.15,21.43,20.82,11838.0,25048974.0,2024-01-09,001231
2024-01-10,21.07,21.18,21.44,20.88,9685.0,20545414.0,2024-01-10,001231
2024-01-11,21.09,21.22,21.32,21.0,8615.0,18238106.0,2024-01-11,001231
2024-01-12,21.22,21.35,21.62,21.18,7798.0,16684205.0,2024-01-12,001231
2024-01-15,21.59,21.25,21.59,21.02,9195.0,19496948.0,2024-01-15,001231
2024-01-16,21.2,21.13,21.47,20.83,8480.0,17866652.0,2024-01-16,001231
2024-01-17,21.02,20.8,21.2,20.74,8586.0,18058492.0,2024-01-17,001231
2024-01-18,20.8,20.47,20.96,19.94,12485.0,25418218.0,2024-01-18,001231
2024-01-19,20.33,20.01,20.47,19.92,7906.0,15902894.0,2024-01-19,001231
2024-01-22,19.95,18.72,20.01,18.62,11990.0,23182116.0,2024-01-22,001231
2024-01-23,18.72,18.21,18.72,17.7,14161.0,25597664.0,2024-01-23,001231
2024-01-24,18.19,18.55,18.59,17.7,9816.0,17876912.0,2024-01-24,001231
2024-01-25,18.55,19.43,19.49,18.5,8223.0,15692973.0,2024-01-25,001231
2024-01-26,19.79,19.74,20.08,19.36,9750.0,19295902.0,2024-01-26,001231
2024-01-29,19.98,18.82,19.98,18.8,7549.0,14419050.0,2024-01-29,001231
2024-01-30,18.81,18.03,19.18,18.01,6884.0,12642923.0,2024-01-30,001231
2024-01-31,18.2,16.67,18.21,16.65,12401.0,21284004.0,2024-01-31,001231
2024-02-01,16.51,16.34,16.8,15.82,10818.0,17595884.0,2024-02-01,001231
2024-02-02,16.39,15.11,16.8,14.71,14415.0,22220254.0,2024-02-02,001231
2024-02-05,15.0,13.6,15.06,13.6,18326.0,25246662.0,2024-02-05,001231
2024-02-06,12.3,12.48,13.84,12.24,31141.0,38817704.0,2024-02-06,001231
2024-02-07,12.49,11.4,12.59,11.24,33412.0,38824928.0,2024-02-07,001231
2024-02-08,11.3,12.31,12.34,10.86,24730.0,28728200.0,2024-02-08,001231
2024-02-19,12.37,13.18,13.28,12.37,19120.0,24822288.0,2024-02-19,001231
2024-02-20,13.3,13.6,13.75,12.98,13788.0,18662330.0,2024-02-20,001231
2024-02-21,13.47,13.9,14.25,13.47,14692.0,20573594.0,2024-02-21,001231
2024-02-22,13.8,14.6,14.64,13.75,13604.0,19415422.0,2024-02-22,001231
2024-02-23,14.6,15.05,15.26,14.55,11470.0,17129196.0,2024-02-23,001231
2024-02-26,15.02,15.55,16.07,14.97,15630.0,24191930.0,2024-02-26,001231
2024-02-27,15.58,16.18,16.19,15.31,11793.0,18748956.0,2024-02-27,001231
2024-02-28,16.42,14.56,16.66,14.56,29199.0,44781664.0,2024-02-28,001231
2024-02-29,14.19,14.85,14.92,13.77,21915.0,31935874.0,2024-02-29,001231
2024-03-01,15.0,14.95,15.06,14.64,13002.0,19332252.0,2024-03-01,001231
2024-03-04,14.95,14.7,15.2,14.51,9314.0,13719289.0,2024-03-04,001231
2024-03-05,14.6,14.28,14.75,14.2,8933.0,12878206.0,2024-03-05,001231
2024-03-06,14.28,14.93,14.95,14.15,15987.0,23372528.0,2024-03-06,001231
2024-03-07,14.9,14.8,15.24,14.66,14345.0,21444578.0,2024-03-07,001231
2024-03-08,14.9,14.79,14.98,14.51,8705.0,12822737.0,2024-03-08,001231
2024-03-11,14.79,15.07,15.07,14.72,11255.0,16781134.0,2024-03-11,001231
2024-03-12,15.09,15.62,15.66,15.07,12431.0,19138202.0,2024-03-12,001231
2024-03-13,15.62,15.78,15.98,15.4,10607.0,16643227.0,2024-03-13,001231
2024-03-14,15.9,15.91,16.03,15.46,11192.0,17703216.0,2024-03-14,001231
