date,open,close,high,low,vol,amount,date,code
2024-01-02,20.32,20.64,21.09,20.2,40104.0,83218184.0,2024-01-02,300489
2024-01-03,20.58,20.02,20.63,19.78,28544.0,57464424.0,2024-01-03,300489
2024-01-04,20.1,20.0,20.24,19.8,17456.0,34952384.0,2024-01-04,300489
2024-01-05,20.0,19.45,20.17,19.3,18588.0,36577584.0,2024-01-05,300489
2024-01-08,19.3,18.97,19.58,18.91,15950.0,30642004.0,2024-01-08,300489
2024-01-09,19.05,19.23,19.45,18.93,19576.0,37585868.0,2024-01-09,300489
2024-01-10,19.2,19.01,19.4,18.89,14602.0,27913252.0,2024-01-10,300489
2024-01-11,19.02,19.19,19.26,18.8,14295.0,27241300.0,2024-01-11,300489
2024-01-12,19.42,18.95,19.64,18.92,15372.0,29642244.0,2024-01-12,300489
2024-01-15,18.91,18.7,18.91,18.48,16868.0,31488320.0,2024-01-15,300489
2024-01-16,18.72,18.6,18.85,18.29,13443.0,24879296.0,2024-01-16,300489
2024-01-17,18.51,18.05,18.71,18.02,10007.0,18326532.0,2024-01-17,300489
2024-01-18,18.07,17.66,18.13,17.23,17192.0,30211124.0,2024-01-18,300489
2024-01-19,17.76,17.36,17.82,17.34,13454.0,23563272.0,2024-01-19,300489
2024-01-22,17.61,16.62,17.7,16.57,38002.0,64329452.0,2024-01-22,300489
2024-01-23,16.5,16.84,16.92,16.07,35834.0,59177828.0,2024-01-23,300489
2024-01-24,16.91,17.91,17.92,16.22,41298.0,70107552.0,2024-01-24,300489
2024-01-25,17.92,17.68,17.92,17.36,26304.0,46407960.0,2024-01-25,300489
2024-01-26,17.73,17.62,17.93,17.47,19006.0,33707264.0,2024-01-26,300489
2024-01-29,17.6,16.85,17.72,16.8,18045.0,30874368.0,2024-01-29,300489
2024-01-30,16.8,16.2,16.8,16.16,16651.0,27391280.0,2024-01-30,300489
2024-01-31,16.2,14.79,16.2,14.47,33840.0,51293612.0,2024-01-31,300489
2024-02-01,14.94,14.41,14.99,14.08,21394.0,31015360.0,2024-02-01,300489
2024-02-02,14.3,14.17,14.77,13.28,26744.0,37365344.0,2024-02-02,300489
2024-02-05,14.2,12.18,14.2,12.09,36814.0,46488620.0,2024-02-05,300489
2024-02-06,12.18,12.25,12.72,10.92,32548.0,38156460.0,2024-02-06,300489
2024-02-07,12.25,11.47,12.29,11.12,44327.0,51343644.0,2024-02-07,300489
2024-02-08,11.45,12.28,12.37,10.39,43433.0,49307260.0,2024-02-08,300489
2024-02-19,13.1,13.36,13.36,12.35,35794.0,46659740.0,2024-02-19,300489
2024-02-20,13.1,13.65,13.77,12.73,22234.0,29558500.0,2024-02-20,300489
2024-02-21,13.56,13.71,14.38,13.2,22263.0,31120754.0,2024-02-21,300489
2024-02-22,13.72,15.38,16.45,13.72,40876.0,61752460.0,2024-02-22,300489
2024-02-23,15.47,15.25,15.86,14.91,34405.0,52141132.0,2024-02-23,300489
2024-02-26,15.4,15.48,15.91,15.1,34741.0,54035316.0,2024-02-26,300489
2024-02-27,15.4,15.75,15.75,14.97,24212.0,37491596.0,2024-02-27,300489
2024-02-28,15.64,14.36,16.15,14.25,37308.0,56799620.0,2024-02-28,300489
2024-02-29,14.12,15.24,15.36,14.03,25666.0,38177564.0,2024-02-29,300489
