date,open,close,high,low,vol,amount,date,code
2020-12-02,186.0,164.85,186.0,163.7,67392.0,1166344448.0,2020-12-02,300916
2020-12-03,152.0,137.32,152.0,137.3,51103.0,734180352.0,2020-12-03,300916
2020-12-04,135.04,132.31,139.3,131.58,31530.0,422618496.0,2020-12-04,300916
2020-12-07,131.31,129.51,132.45,128.0,20970.0,272367424.0,2020-12-07,300916
2020-12-08,129.9,128.57,131.34,128.38,18621.0,241871952.0,2020-12-08,300916
2020-12-09,127.3,130.19,134.95,124.16,26811.0,346979424.0,2020-12-09,300916
2020-12-10,127.01,121.19,127.18,120.7,22920.0,283696128.0,2020-12-10,300916
2020-12-11,120.03,115.21,122.3,114.88,17756.0,209026576.0,2020-12-11,300916
2020-12-14,114.6,115.9,117.5,113.8,11159.0,129000712.0,2020-12-14,300916
2020-12-15,115.0,116.95,120.25,113.33,16878.0,197431296.0,2020-12-15,300916
2020-12-16,115.21,114.1,116.96,113.8,12260.0,141201232.0,2020-12-16,300916
2020-12-17,113.33,136.92,136.92,113.02,45706.0,591542016.0,2020-12-17,300916
2020-12-18,135.0,126.49,135.95,125.33,39008.0,508504768.0,2020-12-18,300916
2020-12-21,125.01,126.4,129.8,123.78,24670.0,311982784.0,2020-12-21,300916
2020-12-22,124.9,117.0,124.9,117.0,23449.0,280156864.0,2020-12-22,300916
2020-12-23,116.01,118.16,119.8,115.0,18279.0,214803632.0,2020-12-23,300916
2020-12-24,117.18,122.89,124.83,115.21,22764.0,274112288.0,2020-12-24,300916
2020-12-25,122.0,118.63,125.84,118.0,16632.0,201461232.0,2020-12-25,300916
2020-12-28,116.7,111.7,118.58,111.22,15285.0,175974432.0,2020-12-28,300916
2020-12-29,110.98,103.35,110.98,101.55,18452.0,192599568.0,2020-12-29,300916
2020-12-30,103.36,105.5,108.66,102.0,14400.0,150926928.0,2020-12-30,300916
2020-12-31,104.89,105.3,108.98,104.57,11577.0,123326904.0,2020-12-31,300916
2021-01-04,105.01,110.48,113.91,104.4,15430.0,170168448.0,2021-01-04,300916
2021-01-05,109.99,112.0,114.96,109.02,16443.0,184971616.0,2021-01-05,300916
2021-01-06,110.92,109.21,113.99,108.21,12538.0,139231936.0,2021-01-06,300916
2021-01-07,107.51,102.09,107.97,101.56,15246.0,158464480.0,2021-01-07,300916
2021-01-08,100.98,103.02,103.86,97.77,11963.0,120437320.0,2021-01-08,300916
2021-01-11,101.99,98.9,103.77,98.01,9606.0,96461936.0,2021-01-11,300916
2021-01-12,99.58,96.19,100.57,95.88,10762.0,105641088.0,2021-01-12,300916
2021-01-13,95.08,90.16,96.5,89.88,14625.0,134803552.0,2021-01-13,300916
2021-01-14,89.37,92.9,95.23,88.76,13489.0,125375784.0,2021-01-14,300916
2021-01-15,92.59,102.7,106.24,92.51,19858.0,201288832.0,2021-01-15,300916
2021-01-18,102.84,100.64,105.88,100.1,14922.0,152383424.0,2021-01-18,300916
2021-01-19,100.65,101.49,105.2,98.3,14744.0,151606096.0,2021-01-19,300916
2021-01-20,101.48,102.35,103.77,99.26,10965.0,111036776.0,2021-01-20,300916
2021-01-21,105.1,100.66,105.1,100.51,11231.0,114494840.0,2021-01-21,300916
2021-01-22,99.41,101.5,104.88,99.01,10483.0,107144504.0,2021-01-22,300916
2021-01-25,100.48,97.43,101.77,92.0,10460.0,101316208.0,2021-01-25,300916
2021-01-26,97.0,97.55,101.2,96.78,7596.0,74998896.0,2021-01-26,300916
2021-01-27,96.9,97.07,98.51,95.88,5710.0,55363012.0,2021-01-27,300916
2021-01-28,97.07,94.5,99.98,94.49,7968.0,77613288.0,2021-01-28,300916
2021-01-29,95.71,94.0,96.69,91.01,7756.0,72826104.0,2021-01-29,300916
2021-02-01,92.74,100.03,101.0,92.29,12853.0,125974440.0,2021-02-01,300916
2021-02-02,100.0,100.33,102.46,98.21,11676.0,116855864.0,2021-02-02,300916
2021-02-03,100.16,105.32,109.98,98.66,20926.0,220816224.0,2021-02-03,300916
2021-02-04,104.5,108.78,114.66,104.5,24303.0,267106656.0,2021-02-04,300916
2021-02-05,107.55,99.88,108.43,98.68,17988.0,185538944.0,2021-02-05,300916
2021-02-08,98.31,92.63,100.67,92.5,13209.0,124756752.0,2021-02-08,300916
2021-02-09,92.89,94.35,96.22,92.43,9643.0,90986800.0,2021-02-09,300916
2021-02-10,96.67,98.18,100.78,96.1,10814.0,106260640.0,2021-02-10,300916
2021-02-18,98.5,99.13,100.6,98.0,10315.0,102141696.0,2021-02-18,300916
2021-02-19,99.47,100.63,100.7,94.49,12010.0,117038024.0,2021-02-19,300916
2021-02-22,100.39,99.27,103.91,99.27,11320.0,114835712.0,2021-02-22,300916
2021-02-23,98.02,96.94,98.8,96.16,8115.0,78816528.0,2021-02-23,300916
2021-02-24,96.93,97.0,98.55,96.28,5995.0,58370176.0,2021-02-24,300916
2021-02-25,97.02,94.13,97.5,94.0,7283.0,69468168.0,2021-02-25,300916
2021-02-26,93.0,93.94,95.46,92.39,4850.0,45540940.0,2021-02-26,300916
2021-03-01,93.16,95.97,95.98,93.16,5301.0,50421668.0,2021-03-01,300916
2021-03-02,96.99,95.21,96.99,94.49,4911.0,46811512.0,2021-03-02,300916
2021-03-03,95.21,96.28,96.8,94.9,4815.0,46180916.0,2021-03-03,300916
2021-03-04,95.55,93.17,96.1,93.0,6885.0,64978656.0,2021-03-04,300916
2021-03-05,91.99,94.44,94.9,91.99,4475.0,41954520.0,2021-03-05,300916
2021-03-08,95.07,94.73,97.26,94.51,7010.0,67285464.0,2021-03-08,300916
2021-03-09,94.23,92.25,95.6,89.1,6096.0,56410876.0,2021-03-09,300916
2021-03-10,92.39,89.6,93.37,88.88,5749.0,52177648.0,2021-03-10,300916
2021-03-11,89.5,90.17,91.3,87.51,5090.0,45500472.0,2021-03-11,300916
2021-03-12,90.02,88.24,90.73,87.66,5440.0,48312236.0,2021-03-12,300916
2021-03-15,88.48,84.91,88.48,84.68,5624.0,48270136.0,2021-03-15,300916
2021-03-16,84.91,85.96,86.45,84.5,3647.0,31212892.0,2021-03-16,300916
2021-03-17,86.2,89.43,89.95,85.45,6607.0,58252936.0,2021-03-17,300916
2021-03-18,89.6,89.01,91.49,88.5,5605.0,50278668.0,2021-03-18,300916
2021-03-19,88.33,91.48,92.5,88.02,8932.0,81581240.0,2021-03-19,300916
2021-03-22,92.0,92.34,92.79,91.02,6970.0,64158208.0,2021-03-22,300916
2021-03-23,91.04,91.33,92.71,90.56,6309.0,57753844.0,2021-03-23,300916
2021-03-24,92.44,92.3,98.6,92.22,9649.0,91386216.0,2021-03-24,300916
2021-03-25,90.83,88.9,91.68,88.5,7351.0,66002000.0,2021-03-25,300916
2021-03-26,90.0,89.4,90.3,88.71,4233.0,37877792.0,2021-03-26,300916
2021-03-29,89.41,87.45,89.8,86.83,5546.0,48839416.0,2021-03-29,300916
