date,open,close,high,low,vol,amount,date,code
2024-01-02,26.04,25.84,26.05,25.68,8922.0,23101394.0,2024-01-02,301179
2024-01-03,25.84,25.38,26.04,25.29,13771.0,35148420.0,2024-01-03,301179
2024-01-04,25.38,25.48,25.6,25.25,9883.0,25135182.0,2024-01-04,301179
2024-01-05,25.48,25.25,25.96,25.08,11565.0,29435250.0,2024-01-05,301179
2024-01-08,25.13,24.38,25.23,24.33,11969.0,29530940.0,2024-01-08,301179
2024-01-09,24.3,24.47,25.2,24.23,11601.0,28575728.0,2024-01-09,301179
2024-01-10,24.42,24.27,24.59,23.85,11977.0,29021826.0,2024-01-10,301179
2024-01-11,24.36,24.57,24.68,24.09,10181.0,24873048.0,2024-01-11,301179
2024-01-12,24.52,24.52,24.96,24.51,10521.0,26009200.0,2024-01-12,301179
2024-01-15,24.4,24.34,24.65,24.13,8451.0,20526126.0,2024-01-15,301179
2024-01-16,24.51,24.16,24.51,23.7,16451.0,39544608.0,2024-01-16,301179
2024-01-17,24.49,23.56,24.49,23.56,10657.0,25486008.0,2024-01-17,301179
2024-01-18,23.5,23.45,23.79,22.5,17688.0,40754820.0,2024-01-18,301179
2024-01-19,23.2,22.77,23.5,22.7,10010.0,22951684.0,2024-01-19,301179
2024-01-22,22.72,21.11,22.72,21.0,14159.0,30958298.0,2024-01-22,301179
2024-01-23,21.13,21.63,21.81,20.89,16456.0,35227176.0,2024-01-23,301179
2024-01-24,21.84,21.55,21.88,20.58,14449.0,30633346.0,2024-01-24,301179
2024-01-25,21.61,22.37,22.42,21.13,15337.0,33618228.0,2024-01-25,301179
2024-01-26,22.36,22.01,22.5,21.87,12093.0,26787200.0,2024-01-26,301179
2024-01-29,22.04,21.06,22.38,21.05,11169.0,23866200.0,2024-01-29,301179
2024-01-30,20.72,20.4,21.18,20.31,8915.0,18476480.0,2024-01-30,301179
2024-01-31,20.32,19.59,20.41,19.59,21786.0,43518648.0,2024-01-31,301179
2024-02-01,19.4,19.55,20.06,18.91,17446.0,34009348.0,2024-02-01,301179
2024-02-02,19.8,18.52,19.88,18.0,23540.0,44047444.0,2024-02-02,301179
2024-02-05,18.4,17.62,18.79,16.18,26781.0,47016508.0,2024-02-05,301179
2024-02-06,17.77,17.89,18.55,16.5,21792.0,38111896.0,2024-02-06,301179
2024-02-07,18.0,17.64,18.45,17.42,21335.0,38273416.0,2024-02-07,301179
2024-02-08,17.75,19.68,19.82,17.56,31420.0,58722704.0,2024-02-08,301179
2024-02-19,20.0,20.3,20.4,19.5,30496.0,60846624.0,2024-02-19,301179
2024-02-20,20.23,20.52,20.87,19.85,20993.0,42960892.0,2024-02-20,301179
2024-02-21,20.3,22.2,23.8,20.11,38840.0,85974144.0,2024-02-21,301179
2024-02-22,22.0,22.35,22.64,21.98,20731.0,46142880.0,2024-02-22,301179
2024-02-23,22.34,22.55,22.55,22.03,18920.0,42151328.0,2024-02-23,301179
2024-02-26,22.56,22.67,23.22,22.39,25317.0,57769556.0,2024-02-26,301179
2024-02-27,22.33,23.14,23.25,22.18,26632.0,60978836.0,2024-02-27,301179
2024-02-28,23.15,21.4,23.53,21.4,33111.0,74732776.0,2024-02-28,301179
2024-02-29,21.12,22.11,22.17,21.08,18349.0,40090052.0,2024-02-29,301179
2024-03-01,22.06,22.96,23.09,22.0,30224.0,68508768.0,2024-03-01,301179
2024-03-04,23.13,24.39,24.44,22.65,54462.0,129644912.0,2024-03-04,301179
2024-03-05,24.09,23.45,24.24,23.36,33238.0,78738952.0,2024-03-05,301179
2024-03-06,23.5,24.4,24.54,23.31,36560.0,88185880.0,2024-03-06,301179
2024-03-07,24.7,23.71,24.86,23.71,30387.0,73317128.0,2024-03-07,301179
2024-03-08,23.58,23.69,23.92,23.34,19107.0,45175980.0,2024-03-08,301179
2024-03-11,23.99,24.4,24.45,23.64,26999.0,65365640.0,2024-03-11,301179
2024-03-12,24.42,23.94,24.42,23.78,26028.0,62470880.0,2024-03-12,301179
2024-03-13,23.91,23.86,24.14,23.7,15703.0,37584984.0,2024-03-13,301179
2024-03-14,23.94,23.66,24.05,23.31,15559.0,36884052.0,2024-03-14,301179
2024-03-15,23.73,23.82,23.85,23.48,11867.0,28102010.0,2024-03-15,301179
2024-03-18,23.88,24.1,24.1,23.72,17004.0,40721440.0,2024-03-18,301179
2024-03-19,24.08,23.7,24.17,23.7,14320.0,34230096.0,2024-03-19,301179
2024-03-20,23.72,24.06,24.07,23.6,15079.0,36036716.0,2024-03-20,301179
2024-03-21,24.05,23.61,24.17,23.51,17504.0,41560080.0,2024-03-21,301179
2024-03-22,23.6,23.14,23.71,22.8,20346.0,47116668.0,2024-03-22,301179
2024-03-25,22.99,22.23,23.14,22.21,17280.0,39189060.0,2024-03-25,301179
2024-03-26,22.23,22.15,22.59,21.79,15762.0,34917160.0,2024-03-26,301179
2024-03-27,22.1,21.3,22.15,21.2,20020.0,43396736.0,2024-03-27,301179
2024-03-28,21.2,21.85,22.2,21.11,14472.0,31556844.0,2024-03-28,301179
2024-03-29,21.85,21.99,22.24,21.72,10652.0,23425394.0,2024-03-29,301179
2024-04-01,22.2,22.4,22.47,21.92,15128.0,33704272.0,2024-04-01,301179
2024-04-02,22.39,22.22,22.54,22.08,10308.0,22971570.0,2024-04-02,301179
2024-04-03,22.22,22.03,22.5,21.79,10979.0,24234244.0,2024-04-03,301179
2024-04-08,22.25,21.23,22.25,21.2,20320.0,43962968.0,2024-04-08,301179
2024-04-09,21.07,21.23,21.61,21.01,18503.0,39258376.0,2024-04-09,301179
2024-04-10,21.18,20.78,21.23,20.58,13672.0,28492240.0,2024-04-10,301179
2024-04-11,20.75,21.27,21.69,20.64,15726.0,33487070.0,2024-04-11,301179
2024-04-12,21.3,22.15,22.73,21.3,41067.0,90997424.0,2024-04-12,301179
2024-04-15,21.97,20.65,22.05,20.45,37165.0,78436112.0,2024-04-15,301179
2024-04-16,20.42,19.36,20.85,19.36,22734.0,45250836.0,2024-04-16,301179
