date,open,close,high,low,vol,amount,date,code
2024-01-02,2.65,2.7,2.73,2.65,161674.0,43737316.0,2024-01-02,300091
2024-01-03,2.68,2.7,2.73,2.67,169901.0,45943932.0,2024-01-03,300091
2024-01-04,2.7,2.68,2.71,2.66,100737.0,27021832.0,2024-01-04,300091
2024-01-05,2.68,2.62,2.7,2.6,153638.0,40548096.0,2024-01-05,300091
2024-01-08,2.6,2.54,2.62,2.54,121396.0,31235120.0,2024-01-08,300091
2024-01-09,2.55,2.56,2.61,2.53,93204.0,23927576.0,2024-01-09,300091
2024-01-10,2.55,2.6,2.64,2.51,182009.0,47090872.0,2024-01-10,300091
2024-01-11,2.58,2.61,2.62,2.56,165022.0,42703140.0,2024-01-11,300091
2024-01-12,2.61,2.62,2.7,2.6,193199.0,51076700.0,2024-01-12,300091
2024-01-15,2.6,2.61,2.64,2.57,137973.0,35908920.0,2024-01-15,300091
2024-01-16,2.6,2.6,2.64,2.56,139452.0,36212968.0,2024-01-16,300091
2024-01-17,2.6,2.52,2.6,2.51,106401.0,27193212.0,2024-01-17,300091
2024-01-18,2.5,2.47,2.52,2.39,180816.0,44227624.0,2024-01-18,300091
2024-01-19,2.46,2.42,2.47,2.41,107570.0,26219120.0,2024-01-19,300091
2024-01-22,2.38,2.21,2.4,2.18,331686.0,76334216.0,2024-01-22,300091
2024-01-23,2.21,2.23,2.26,2.18,218663.0,48631504.0,2024-01-23,300091
2024-01-24,2.25,2.31,2.31,2.21,217927.0,49415284.0,2024-01-24,300091
2024-01-25,2.31,2.37,2.38,2.28,212534.0,49567580.0,2024-01-25,300091
2024-01-26,2.35,2.38,2.44,2.35,168044.0,40385072.0,2024-01-26,300091
2024-01-29,2.38,2.27,2.4,2.27,162289.0,37492916.0,2024-01-29,300091
2024-01-30,2.26,2.21,2.3,2.19,144305.0,32506582.0,2024-01-30,300091
2024-01-31,2.21,2.04,2.21,2.02,265156.0,55577076.0,2024-01-31,300091
2024-02-01,2.02,2.0,2.04,1.95,221343.0,44222744.0,2024-02-01,300091
2024-02-02,2.0,1.85,2.03,1.76,323305.0,61186772.0,2024-02-02,300091
2024-02-05,1.84,1.54,1.84,1.53,415588.0,67977936.0,2024-02-05,300091
2024-02-06,1.45,1.53,1.63,1.4,499683.0,73700216.0,2024-02-06,300091
2024-02-07,1.55,1.36,1.56,1.3,582459.0,81749688.0,2024-02-07,300091
2024-02-08,1.36,1.52,1.52,1.33,549970.0,78120088.0,2024-02-08,300091
2024-02-19,1.57,1.64,1.66,1.56,439858.0,70803328.0,2024-02-19,300091
2024-02-20,1.63,1.65,1.66,1.58,276045.0,44935940.0,2024-02-20,300091
2024-02-21,1.64,1.86,1.97,1.62,648347.0,119495168.0,2024-02-21,300091
2024-02-22,1.8,1.89,1.91,1.77,513320.0,95391264.0,2024-02-22,300091
2024-02-23,1.89,1.98,1.98,1.88,418849.0,81263344.0,2024-02-23,300091
2024-02-26,1.98,2.14,2.27,1.98,876862.0,187779824.0,2024-02-26,300091
2024-02-27,2.12,2.17,2.18,2.09,615764.0,131429456.0,2024-02-27,300091
2024-02-28,2.17,2.0,2.27,1.98,735743.0,158255024.0,2024-02-28,300091
2024-02-29,1.99,2.18,2.19,1.94,651475.0,136122592.0,2024-02-29,300091
2024-03-01,2.2,2.18,2.27,2.11,601061.0,130840728.0,2024-03-01,300091
2024-03-04,2.14,2.1,2.16,2.04,405351.0,84915248.0,2024-03-04,300091
2024-03-05,2.07,2.02,2.09,2.01,287785.0,58551696.0,2024-03-05,300091
2024-03-06,2.01,2.07,2.1,2.0,249204.0,51629004.0,2024-03-06,300091
2024-03-07,2.08,2.48,2.48,2.08,1001810.0,235857104.0,2024-03-07,300091
2024-03-08,2.44,2.36,2.63,2.32,1473683.0,361059264.0,2024-03-08,300091
2024-03-11,2.35,2.34,2.42,2.28,734734.0,171766832.0,2024-03-11,300091
2024-03-12,2.37,2.36,2.43,2.31,688817.0,162686480.0,2024-03-12,300091
