date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2023-12-06,sh.688720,60.0000,66.8000,60.0000,61.2000,28.0300,13162418,816389036.5500,3,79.144900,1,118.337500,0
2023-12-07,sh.688720,57.0000,61.9500,56.0100,58.5000,61.2000,8011067,476643310.3400,3,48.170100,1,-4.411800,0
2023-12-08,sh.688720,59.0400,62.6600,55.1800,60.0900,58.5000,7752528,456764542.5900,3,46.615500,1,2.717900,0
2023-12-11,sh.688720,59.0000,66.1600,58.4000,64.0000,60.0900,7271184,455029739.9700,3,43.721200,1,6.506900,0
2023-12-12,sh.688720,66.5000,69.9000,63.0100,64.0000,64.0000,5472834,361414883.1900,3,32.907800,1,0.000000,0
2023-12-13,sh.688720,62.7900,65.9600,62.0200,63.5500,64.0000,3915046,251289042.0100,3,23.541000,1,-0.703100,0
2023-12-14,sh.688720,63.0100,64.0100,59.0600,59.0800,63.5500,4369044,264713294.4400,3,26.270800,1,-7.033800,0
2023-12-15,sh.688720,58.9300,61.1500,58.6000,58.7000,59.0800,2891053,173099157.9200,3,17.383700,1,-0.643200,0
2023-12-18,sh.688720,58.5100,60.2100,57.9800,58.3200,58.7000,1985680,117411634.0500,3,11.939800,1,-0.647400,0
2023-12-19,sh.688720,58.8000,60.7800,57.8500,59.7500,58.3200,2310903,137111557.0200,3,13.895300,1,2.452000,0
2023-12-20,sh.688720,60.4400,62.3600,59.6900,60.1000,59.7500,2441453,148905742.8500,3,14.680300,1,0.585800,0
2023-12-21,sh.688720,59.0300,61.3300,59.0100,60.3300,60.1000,1966384,118866939.0800,3,11.823800,1,0.382700,0
2023-12-22,sh.688720,59.8100,60.9200,57.0500,57.2000,60.3300,2125106,124541696.8300,3,12.778100,1,-5.188100,0
2023-12-25,sh.688720,57.0000,59.8000,56.7300,58.6700,57.2000,1596719,93112037.8800,3,9.601000,1,2.569900,0
2023-12-26,sh.688720,58.5500,58.9000,56.4000,56.9500,58.6700,1137293,65545218.7100,3,6.838500,1,-2.931700,0
2023-12-27,sh.688720,57.0100,61.1400,56.5800,60.5000,56.9500,1809223,107299159.5300,3,10.878800,1,6.233500,0
2023-12-28,sh.688720,60.0300,60.5100,58.1000,58.8600,60.5000,1547806,91270392.1100,3,9.306900,1,-2.710700,0
2023-12-29,sh.688720,58.8600,62.0000,58.2500,60.2600,58.8600,1903599,115438233.8700,3,11.446200,1,2.378500,0
2024-01-02,sh.688720,60.2600,60.9800,58.2800,58.9900,60.2600,760322,44950422.4200,3,4.571800,1,-2.107500,0
2024-01-03,sh.688720,59.0000,59.2000,55.5500,55.7800,58.9900,1396419,79102655.0300,3,8.396600,1,-5.441600,0
2024-01-04,sh.688720,53.6600,55.8200,53.6600,54.1800,55.7800,993521,54469763.1100,3,5.974000,1,-2.868400,0
2024-01-05,sh.688720,54.3000,55.2800,51.6700,51.7700,54.1800,1224149,65121992.7200,3,7.360700,1,-4.448100,0
2024-01-08,sh.688720,51.7600,52.5900,49.7000,49.8200,51.7700,777814,39398275.5400,3,4.677000,1,-3.766700,0
2024-01-09,sh.688720,50.2000,51.6800,49.2000,49.7800,49.8200,1005360,50381887.3400,3,6.045200,1,-0.080300,0
2024-01-10,sh.688720,49.7000,50.4900,48.1000,49.5700,49.7800,1350933,66701814.5600,3,8.123100,1,-0.421900,0
2024-01-11,sh.688720,49.8300,51.0000,49.2200,50.5200,49.5700,1042740,52428753.5300,3,6.269900,1,1.916500,0
2024-01-12,sh.688720,50.6700,51.6300,48.7600,49.1400,50.5200,1158510,58276388.9100,3,6.966100,1,-2.731600,0
2024-01-15,sh.688720,48.7900,50.5000,47.6400,49.4900,49.1400,1061173,52421057.1600,3,6.380800,1,0.712300,0
2024-01-16,sh.688720,49.0000,49.3800,47.0000,48.6300,49.4900,1021684,49255044.7900,3,6.143300,1,-1.737700,0
2024-01-17,sh.688720,48.6200,49.0700,46.1000,46.4800,48.6300,596871,28285553.2600,3,3.589000,1,-4.421100,0
2024-01-18,sh.688720,45.7000,46.8400,44.6000,46.1600,46.4800,932912,42843472.6900,3,5.609500,1,-0.688500,0
2024-01-19,sh.688720,46.4900,47.5000,45.8900,45.9300,46.1600,1434062,67016011.7300,3,8.622900,1,-0.498300,0
2024-01-22,sh.688720,46.2000,46.2000,41.0300,41.4800,45.9300,1449795,63097996.7300,3,8.717500,1,-9.688700,0
2024-01-23,sh.688720,42.1200,42.3000,40.4400,41.2500,41.4800,1538045,63428896.5300,3,9.248200,1,-0.554500,0
2024-01-24,sh.688720,41.1000,41.6300,39.5100,41.3300,41.2500,1206308,48780051.0300,3,7.253500,1,0.193900,0
2024-01-25,sh.688720,41.8000,44.0600,40.3800,43.7300,41.3300,1349445,57291557.6200,3,8.114100,1,5.806900,0
2024-01-26,sh.688720,43.7000,43.7000,41.6000,42.7000,43.7300,974602,41254891.3800,3,5.860200,1,-2.355400,0
2024-01-29,sh.688720,44.1000,44.2000,42.0900,42.6600,42.7000,1804450,77804692.6800,3,10.850100,1,-0.093700,0
2024-01-30,sh.688720,41.9800,42.0000,39.3900,39.7800,42.6600,1542083,61869853.9700,3,9.272500,1,-6.751100,0
2024-01-31,sh.688720,39.0000,40.0800,36.0900,37.0000,39.7800,1273070,47939899.7200,3,7.654900,1,-6.988400,0
2024-02-01,sh.688720,36.1000,36.9500,35.3000,35.7300,37.0000,1347947,48533970.1800,3,8.105100,1,-3.432400,0
2024-02-02,sh.688720,36.0000,36.5800,32.3000,33.8800,35.7300,1425725,49021316.2600,3,8.572800,1,-5.177700,0
2024-02-05,sh.688720,33.0100,33.3400,27.8000,28.8200,33.8800,1748453,52055374.8000,3,10.513400,1,-14.935100,0
