date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2023-07-28,sh.688646,48.0000,62.0000,48.0000,56.5000,46.8000,14601430,803528212.0600,3,81.620900,1,20.726500,0
2023-07-31,sh.688646,55.9900,58.2100,52.5000,53.4700,56.5000,9338742,511011902.5200,3,52.202900,1,-5.362800,0
2023-08-01,sh.688646,51.0000,51.4100,48.5800,48.6700,53.4700,6752605,333821406.4500,3,37.746600,1,-8.977000,0
2023-08-02,sh.688646,48.0000,48.0700,46.0200,46.3500,48.6700,4138070,193784303.8600,3,23.131500,1,-4.766800,0
2023-08-03,sh.688646,46.3500,49.6000,46.2100,47.5000,46.3500,5606474,269996943.5700,3,31.339800,1,2.481100,0
2023-08-04,sh.688646,46.9900,47.7400,44.8600,45.5200,47.5000,5530651,252872123.3800,3,30.915900,1,-4.168400,0
2023-08-07,sh.688646,45.2000,46.3000,44.5500,45.9500,45.5200,3015956,137168408.1200,3,16.859000,1,0.944600,0
2023-08-08,sh.688646,45.7400,47.3300,45.3000,47.1900,45.9500,3441258,160505036.3100,3,19.236400,1,2.698600,0
2023-08-09,sh.688646,46.7000,48.6500,45.7300,47.5700,47.1900,4088341,191622160.8400,3,22.853500,1,0.805300,0
2023-08-10,sh.688646,46.8400,48.6000,46.8000,47.2000,47.5700,3544345,169287105.4700,3,19.812600,1,-0.777800,0
2023-08-11,sh.688646,47.0900,47.4400,46.1900,46.3000,47.2000,2493767,116275670.7100,3,13.940000,1,-1.906800,0
2023-08-14,sh.688646,46.1200,47.2300,45.2700,47.1200,46.3000,1942650,90088281.8700,3,10.859300,1,1.771100,0
2023-08-15,sh.688646,47.1400,47.1400,45.1600,45.6800,47.1200,2338133,107121356.7600,3,13.070000,1,-3.056000,0
2023-08-16,sh.688646,45.5000,45.5700,44.5800,44.7000,45.6800,1814176,81694086.2200,3,10.141100,1,-2.145400,0
2023-08-17,sh.688646,44.2200,45.7900,43.3000,45.6500,44.7000,1885906,84822820.1200,3,10.542100,1,2.125300,0
2023-08-18,sh.688646,47.5000,50.6100,47.0500,47.7500,45.6500,5668796,274803551.6400,3,31.688100,1,4.600200,0
2023-08-21,sh.688646,47.5200,48.2600,46.4500,46.4800,47.7500,2654219,125477815.2200,3,14.836900,1,-2.659700,0
2023-08-22,sh.688646,46.3900,46.6500,43.4800,44.3500,46.4800,2795783,124746783.6500,3,15.628200,1,-4.582600,0
2023-08-23,sh.688646,44.3400,44.9300,42.8100,42.8900,44.3500,1766086,77278277.1400,3,9.872300,1,-3.292000,0
2023-08-24,sh.688646,43.0900,43.6500,41.0700,43.4800,42.8900,1816835,77275845.1000,3,10.156000,1,1.375600,0
2023-08-25,sh.688646,42.7100,43.1500,40.9300,41.3200,43.4800,1360366,56906983.1000,3,7.604300,1,-4.967800,0
2023-08-28,sh.688646,43.5200,44.5000,42.0700,42.2000,41.3200,2078527,89894056.6600,3,11.618800,1,2.129700,0
2023-08-29,sh.688646,41.8300,46.4600,41.4000,46.4400,42.2000,3141221,139721594.2000,3,17.559200,1,10.047400,0
2023-08-30,sh.688646,46.1600,49.2800,46.0200,48.3800,46.4400,3863012,185931337.5700,3,21.593900,1,4.177400,0
2023-08-31,sh.688646,47.9900,50.6000,47.6000,48.4000,48.3800,3303889,162329668.8400,3,18.468500,1,0.041300,0
2023-09-01,sh.688646,48.6200,50.1000,47.7000,48.6000,48.4000,2476554,121218885.6600,3,13.843700,1,0.413200,0
2023-09-04,sh.688646,48.0000,48.3500,46.1000,47.2000,48.6000,2732879,128303463.4700,3,15.276600,1,-2.880700,0
2023-09-05,sh.688646,47.4400,50.6800,47.0400,48.9200,47.2000,3383463,165121196.0600,3,18.913300,1,3.644100,0
2023-09-06,sh.688646,47.7800,48.6800,47.3200,48.5900,48.9200,1988538,95399671.3400,3,11.115800,1,-0.674600,0
2023-09-07,sh.688646,48.0400,48.6600,46.4000,46.4500,48.5900,1445425,68272276.8000,3,8.079800,1,-4.404200,0
2023-09-08,sh.688646,46.4000,47.4700,46.3500,47.0800,46.4500,1010556,47428934.1500,3,5.648900,1,1.356300,0
2023-09-11,sh.688646,46.6200,47.0400,45.7300,45.8000,47.0800,1438227,66292498.6800,3,8.039600,1,-2.718800,0
2023-09-12,sh.688646,45.9500,46.3800,45.4700,45.9700,45.8000,767194,35281169.5400,3,4.288600,1,0.371200,0
2023-09-13,sh.688646,45.9800,45.9800,43.7800,44.0900,45.9700,1162413,51731807.7800,3,6.497800,1,-4.089600,0
2023-09-14,sh.688646,44.1000,44.1000,42.2100,42.6300,44.0900,1081981,46420254.1200,3,6.048200,1,-3.311400,0
2023-09-15,sh.688646,42.6600,43.0400,42.0000,42.4600,42.6300,684479,29060824.6500,3,3.826200,1,-0.398800,0
2023-09-18,sh.688646,42.5100,44.7800,41.9100,43.6200,42.4600,1244316,54513658.0400,3,6.955600,1,2.732000,0
2023-09-19,sh.688646,43.6200,43.9000,42.2000,42.4500,43.6200,942640,40298656.7700,3,5.269300,1,-2.682300,0
2023-09-20,sh.688646,42.4500,42.8900,42.0700,42.1600,42.4500,597146,25297170.9100,3,3.338000,1,-0.683200,0
2023-09-21,sh.688646,42.0900,42.2700,41.4500,41.5500,42.1600,610027,25519279.7200,3,3.410000,1,-1.446900,0
2023-09-22,sh.688646,41.8100,42.5000,41.0000,42.3900,41.5500,629998,26470994.1500,3,3.521600,1,2.021700,0
2023-09-25,sh.688646,42.3200,42.3900,41.6100,42.1100,42.3900,535263,22477035.6600,3,2.992100,1,-0.660500,0
2023-09-26,sh.688646,41.6100,42.7600,40.7700,42.1600,42.1100,1050612,43949290.9500,3,5.872800,1,0.118700,0
2023-09-27,sh.688646,42.0800,43.1300,41.7100,42.4900,42.1600,831410,35476087.1400,3,4.647500,1,0.782700,0
2023-09-28,sh.688646,42.5800,43.4900,42.5800,42.9200,42.4900,738266,31762564.6900,3,4.126900,1,1.012000,0
2023-10-09,sh.688646,42.9200,42.9300,41.7000,42.0500,42.9200,657580,27729524.0900,3,3.675800,1,-2.027000,0
2023-10-10,sh.688646,41.7500,42.3600,41.4000,41.4800,42.0500,537139,22446352.7300,3,3.002600,1,-1.355500,0
2023-10-11,sh.688646,41.4800,42.6500,41.0200,42.1300,41.4800,705180,29613189.4300,3,3.941900,1,1.567000,0
2023-10-12,sh.688646,42.4000,42.4400,41.3800,42.0700,42.1300,673429,28162182.6800,3,3.764400,1,-0.142400,0
2023-10-13,sh.688646,41.9800,41.9900,40.3100,40.4700,42.0700,1181375,48143013.9800,3,6.603800,1,-3.803200,0
2023-10-16,sh.688646,40.4100,40.5600,39.2900,39.5100,40.4700,644274,25575881.0400,3,3.601400,1,-2.372100,0
2023-10-17,sh.688646,39.2800,39.5600,38.7900,39.4400,39.5100,525523,20591703.4700,3,2.937600,1,-0.177200,0
2023-10-18,sh.688646,39.3800,39.3800,38.5800,38.5800,39.4400,437737,16975853.5900,3,2.446900,1,-2.180500,0
2023-10-19,sh.688646,38.4000,39.6400,38.3900,38.7300,38.5800,602530,23519665.1500,3,3.368100,1,0.388800,0
2023-10-20,sh.688646,38.7100,39.3800,37.9900,37.9900,38.7300,569379,21904963.8900,3,3.182800,1,-1.910700,0
2023-10-23,sh.688646,38.3800,38.3800,36.4500,36.7300,37.9900,622661,23024936.8400,3,3.480600,1,-3.316700,0
2023-10-24,sh.688646,36.5800,37.7300,36.1700,37.5300,36.7300,651710,24263308.7300,3,3.643000,1,2.178100,0
2023-10-25,sh.688646,37.5300,38.0900,37.2100,37.5500,37.5300,503758,18934674.9800,3,2.816000,1,0.053300,0
2023-10-26,sh.688646,37.1500,37.8000,36.4700,37.6400,37.5500,523931,19414680.7900,3,2.928700,1,0.239700,0
2023-10-27,sh.688646,37.0200,38.8500,36.8000,38.5100,37.6400,807594,30745471.8200,3,4.514400,1,2.311400,0
2023-10-30,sh.688646,38.1000,39.1100,38.0000,38.7200,38.5100,696429,26839408.4100,3,3.893000,1,0.545300,0
2023-10-31,sh.688646,39.0000,39.0000,38.0300,38.5000,38.7200,836048,32140630.4700,3,4.673400,1,-0.568200,0
2023-11-01,sh.688646,38.5000,38.8800,38.0500,38.3000,38.5000,662801,25394043.7000,3,3.705000,1,-0.519500,0
2023-11-02,sh.688646,38.5000,38.5000,37.4800,37.4800,38.3000,603598,22816372.6200,3,3.374100,1,-2.141000,0
2023-11-03,sh.688646,37.3500,39.0900,37.3500,38.6900,37.4800,1060548,41071059.8300,3,5.928400,1,3.228400,0
2023-11-06,sh.688646,38.7000,39.8100,38.7000,39.7000,38.6900,898947,35557506.9900,3,5.025000,1,2.610500,0
2023-11-07,sh.688646,39.9200,39.9200,39.1600,39.5000,39.7000,633660,25040476.4200,3,3.542100,1,-0.503800,0
2023-11-08,sh.688646,39.3200,39.6500,38.9900,39.3500,39.5000,698618,27441488.9600,3,3.905200,1,-0.379700,0
2023-11-09,sh.688646,39.3000,40.1500,39.2600,39.5000,39.3500,793984,31403574.5700,3,4.438300,1,0.381200,0
2023-11-10,sh.688646,39.1000,39.6300,38.8500,39.3000,39.5000,519004,20372254.7400,3,2.901200,1,-0.506300,0
2023-11-13,sh.688646,39.5800,40.0000,39.4600,39.7100,39.3000,651473,25901414.0600,3,3.641700,1,1.043300,0
