date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2021-07-08,sh.688789,150.0000,183.0000,150.0000,165.5000,30.2800,12825016,2170006495.3000,3,83.061600,1,446.565400,0
2021-07-09,sh.688789,161.0000,175.6600,156.1100,173.5600,165.5000,5180209,869217411.0600,3,33.549800,1,4.870100,0
2021-07-12,sh.688789,178.0000,183.0100,171.1100,183.0100,173.5600,3063041,547138129.2700,3,19.837900,1,5.444800,0
2021-07-13,sh.688789,185.0000,214.0000,185.0000,210.0000,183.0100,2662549,528945243.4500,3,17.244100,1,14.747800,0
2021-07-14,sh.688789,211.0000,217.2000,200.1200,206.8600,210.0000,1926245,402036233.3700,3,12.475400,1,-1.495200,0
2021-07-15,sh.688789,205.5000,225.9800,205.5000,224.9900,206.8600,1554451,336490755.8100,3,10.067400,1,8.764400,0
2021-07-16,sh.688789,228.0000,256.8800,223.0000,239.5000,224.9900,1738168,423373374.9400,3,11.257300,1,6.449200,0
2021-07-19,sh.688789,244.0000,247.7000,223.0100,237.0000,239.5000,1360227,320947598.2400,3,8.809600,1,-1.043800,0
2021-07-20,sh.688789,235.0000,244.1300,227.5100,242.3000,237.0000,817980,192428958.7600,3,5.297700,1,2.236300,0
2021-07-21,sh.688789,242.0000,249.2500,235.3800,244.0000,242.3000,892902,216745641.3700,3,5.782900,1,0.701600,0
2021-07-22,sh.688789,242.0000,265.2500,242.0000,265.2500,244.0000,875157,223343221.0900,3,5.668000,1,8.709000,0
2021-07-23,sh.688789,265.0000,265.0000,233.5000,245.7000,265.2500,1493970,364229017.1700,3,9.675700,1,-7.370400,0
2021-07-26,sh.688789,241.5800,246.9800,227.3700,239.9800,245.7000,1024626,244638293.9000,3,6.636000,1,-2.328000,0
2021-07-27,sh.688789,242.1800,263.0000,238.0000,243.0000,239.9800,890500,223825703.2300,3,5.767400,1,1.258400,0
2021-07-28,sh.688789,242.0000,245.9900,223.5000,238.0300,243.0000,896446,212421516.0700,3,5.805900,1,-2.045300,0
2021-07-29,sh.688789,236.0000,263.0000,236.0000,262.7600,238.0300,831722,207478577.0200,3,5.386700,1,10.389400,0
2021-07-30,sh.688789,257.1600,286.0000,252.5600,281.0000,262.7600,780105,209636694.4200,3,5.052400,1,6.941700,0
2021-08-02,sh.688789,280.8000,280.8000,262.0000,275.0500,281.0000,897392,241823672.1700,3,5.812000,1,-2.117400,0
2021-08-03,sh.688789,270.1900,298.7000,264.1300,277.9800,275.0500,827026,233312604.3900,3,5.356300,1,1.065300,0
2021-08-04,sh.688789,270.9800,283.6300,266.0200,271.0000,277.9800,480223,131329118.3300,3,3.110200,1,-2.511000,0
2021-08-05,sh.688789,268.0000,299.5500,267.0000,281.1500,271.0000,714613,205657099.9600,3,4.628200,1,3.745400,0
2021-08-06,sh.688789,283.0000,297.5000,279.3300,286.9800,281.1500,530558,154126245.9900,3,3.436200,1,2.073600,0
2021-08-09,sh.688789,288.0000,288.0000,258.3200,272.8000,286.9800,777939,211753233.4500,3,5.038300,1,-4.941100,0
2021-08-10,sh.688789,274.6200,295.8800,273.0000,288.3900,272.8000,670502,191696584.6100,3,4.342500,1,5.714800,0
2021-08-11,sh.688789,293.0000,293.0000,273.6500,286.6100,288.3900,496937,140528005.1700,3,3.218400,1,-0.617200,0
2021-08-12,sh.688789,284.9900,296.0000,273.4200,294.9000,286.6100,431615,122077694.5400,3,2.795400,1,2.892400,0
2021-08-13,sh.688789,290.1000,298.9900,279.0000,280.0000,294.9000,518462,148047543.0200,3,3.357800,1,-5.052600,0
2021-08-16,sh.688789,283.0000,283.0000,268.0000,270.1200,280.0000,284893,77609023.7300,3,1.845100,1,-3.528600,0
2021-08-17,sh.688789,266.1100,273.5700,251.9000,258.1800,270.1200,542531,142748339.6500,3,3.513700,1,-4.420300,0
2021-08-18,sh.688789,258.1800,265.9000,249.0000,254.8100,258.1800,355191,90623743.5000,3,2.300400,1,-1.305300,0
2021-08-19,sh.688789,253.6000,262.7200,248.5800,254.0000,254.8100,225663,57568468.1600,3,1.461500,1,-0.317900,0
2021-08-20,sh.688789,251.0000,258.7900,241.0000,244.9800,254.0000,383151,95028799.6500,3,2.481500,1,-3.551200,0
2021-08-23,sh.688789,243.8900,263.7000,243.8900,261.0000,244.9800,361102,92986479.5200,3,2.338700,1,6.539300,0
2021-08-24,sh.688789,261.2000,261.2000,248.0000,250.3300,261.0000,370034,93422894.6000,3,2.396500,1,-4.088100,0
2021-08-25,sh.688789,246.5800,265.3500,246.5800,263.6600,250.3300,337679,87462806.2200,3,2.187000,1,5.325000,0
2021-08-26,sh.688789,261.2000,263.9300,256.0000,258.1500,263.6600,219185,56748726.5800,3,1.419600,1,-2.089800,0
2021-08-27,sh.688789,258.6900,260.8700,244.0000,251.9300,258.1500,473202,118349048.8000,3,3.064700,1,-2.409500,0
2021-08-30,sh.688789,257.0000,267.6400,243.0000,265.3900,251.9300,500994,126873921.5200,3,3.244700,1,5.342800,0
2021-08-31,sh.688789,260.9800,265.0000,249.0000,261.0100,265.3900,277907,71675877.1500,3,1.799900,1,-1.650400,0
2021-09-01,sh.688789,258.1900,260.7800,243.6800,257.9900,261.0100,343350,85796757.2200,3,2.223700,1,-1.157000,0
2021-09-02,sh.688789,250.2500,255.0800,248.5000,250.9900,257.9900,143760,36091880.3500,3,0.931100,1,-2.713300,0
2021-09-03,sh.688789,245.7800,257.7900,240.0000,250.5000,250.9900,273481,68661467.6100,3,1.771200,1,-0.195200,0
2021-09-06,sh.688789,247.0000,251.5800,245.0000,248.0000,250.5000,128225,31895083.8200,3,0.830500,1,-0.998000,0
2021-09-07,sh.688789,246.5500,265.0000,244.0000,264.4000,248.0000,443618,113942279.8900,3,2.873100,1,6.612900,0
2021-09-08,sh.688789,261.0000,268.0000,260.5100,267.0400,264.4000,268119,71042740.7600,3,1.736500,1,0.998500,0
2021-09-09,sh.688789,266.6600,280.0000,266.6600,278.2400,267.0400,275646,75600107.5800,3,1.785200,1,4.194100,0
2021-09-10,sh.688789,275.0800,276.0000,265.9800,274.0700,278.2400,361698,97541488.8600,3,2.342500,1,-1.498700,0
2021-09-13,sh.688789,272.5000,273.9500,254.0000,259.0000,274.0700,276380,72363044.4100,3,1.790000,1,-5.498600,0
2021-09-14,sh.688789,255.8000,262.5600,250.1800,250.1800,259.0000,258244,65680605.8900,3,1.672500,1,-3.405400,0
