date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2024-05-09,sh.688530,26.5100,27.2700,23.5000,25.8700,9.6000,22447067,554612588.1100,3,74.609800,1,169.479200,0
2024-05-10,sh.688530,24.5000,24.8500,22.8000,22.8500,25.8700,15059226,355468323.5600,3,50.054000,1,-11.673800,0
2024-05-13,sh.688530,22.8000,23.5100,22.2200,22.4500,22.8500,9179841,209850795.6100,3,30.512000,1,-1.750500,0
2024-05-14,sh.688530,23.1500,23.5000,22.4700,22.9000,22.4500,11730266,269417988.9800,3,38.989200,1,2.004500,0
2024-05-15,sh.688530,23.0000,23.4800,21.9100,21.9600,22.9000,11629404,263505748.6600,3,38.653900,1,-4.104800,0
2024-05-16,sh.688530,21.3000,21.5000,20.7300,20.9600,21.9600,9390882,197493587.2900,3,31.213500,1,-4.553700,0
2024-05-17,sh.688530,21.1600,21.6600,20.9700,21.1800,20.9600,7513089,160225242.2800,3,24.972100,1,1.049600,0
2024-05-20,sh.688530,21.6100,22.0000,21.3500,21.4900,21.1800,7447871,161781783.1900,3,24.755300,1,1.463600,0
2024-05-21,sh.688530,21.3000,22.1800,21.0300,21.8100,21.4900,7383749,161419255.7000,3,24.542200,1,1.489100,0
2024-05-22,sh.688530,21.5700,22.9900,21.4900,22.4400,21.8100,8762260,193855456.9700,3,29.124100,1,2.888600,0
2024-05-23,sh.688530,22.2200,22.9500,21.7800,21.8900,22.4400,8778457,196655723.0700,3,29.177900,1,-2.451000,0
2024-05-24,sh.688530,21.4400,21.7100,20.2700,20.5300,21.8900,7717062,160922691.1500,3,25.650100,1,-6.212900,0
2024-05-27,sh.688530,20.5300,21.2900,19.7300,21.2800,20.5300,6852574,139815354.4200,3,22.776700,1,3.653200,0
2024-05-28,sh.688530,21.0300,21.7100,20.4300,20.4300,21.2800,5200053,109433735.0300,3,17.284000,1,-3.994400,0
2024-05-29,sh.688530,20.2000,20.9000,20.0500,20.4700,20.4300,3862046,79094200.5600,3,12.836700,1,0.195800,0
2024-05-30,sh.688530,20.4500,20.8100,20.2200,20.5900,20.4700,3843514,79067345.9400,3,12.775100,1,0.586200,0
2024-05-31,sh.688530,20.5700,20.7500,20.3800,20.6200,20.5900,3543409,73010609.6700,3,11.777600,1,0.145700,0
2024-06-03,sh.688530,20.5900,20.8900,19.9700,20.3100,20.6200,3411776,69708080.9900,3,11.340100,1,-1.503400,0
2024-06-04,sh.688530,20.2200,21.0000,19.8000,20.8900,20.3100,5355481,110719014.9800,3,17.800600,1,2.855700,0
2024-06-05,sh.688530,20.7500,21.9100,20.7500,21.3500,20.8900,6943747,148276180.4900,3,23.079700,1,2.202000,0
2024-06-06,sh.688530,21.3000,21.9500,20.2100,20.3600,21.3500,5660056,118610684.6700,3,18.813000,1,-4.637000,0
2024-06-07,sh.688530,20.4900,21.2200,20.1300,20.5500,20.3600,4183629,86551413.3100,3,13.905600,1,0.933200,0
2024-06-11,sh.688530,20.6400,21.8800,20.0700,21.8300,20.5500,6699999,142011235.5700,3,22.269500,1,6.228700,0
2024-06-12,sh.688530,21.9000,21.9300,21.1900,21.3500,21.8300,5223518,111692101.4900,3,17.362000,1,-2.198800,0
2024-06-13,sh.688530,21.5700,25.6200,21.3700,25.6200,21.3500,17372604,418503163.9300,3,57.743200,1,20.000000,0
2024-06-14,sh.688530,27.2700,27.9400,23.4000,23.5800,25.6200,18519829,472045361.2800,3,61.556400,1,-7.962500,0
2024-06-17,sh.688530,23.1200,23.6000,22.4000,22.8900,23.5800,10018330,230172706.9700,3,33.299000,1,-2.926200,0
2024-06-18,sh.688530,22.9800,23.6000,22.6000,23.0000,22.8900,9689451,223403456.1900,3,32.205900,1,0.480600,0
2024-06-19,sh.688530,22.8100,23.5000,21.9800,22.9300,23.0000,10168118,231331970.8300,3,33.796900,1,-0.304300,0
2024-06-20,sh.688530,22.6800,25.9600,22.6000,23.4200,22.9300,14343879,345877020.4300,3,47.676300,1,2.136900,0
2024-06-21,sh.688530,23.0100,23.3400,21.7600,21.9600,23.4200,9398337,209490203.0400,3,31.238300,1,-6.234000,0
2024-06-24,sh.688530,21.7500,22.2700,20.3800,20.6600,21.9600,7216445,154234484.7100,3,23.986100,1,-5.919900,0
2024-06-25,sh.688530,20.7300,20.8300,20.2200,20.5500,20.6600,3994175,81885605.6700,3,13.275900,1,-0.532400,0
2024-06-26,sh.688530,20.5900,21.2400,20.0900,21.0500,20.5500,4058667,84197975.8600,3,13.490200,1,2.433100,0
2024-06-27,sh.688530,20.7800,21.2000,20.2100,20.4000,21.0500,4224031,87518273.2900,3,14.039900,1,-3.087900,0
2024-06-28,sh.688530,20.2500,21.0600,20.2000,20.5500,20.4000,3627005,75163728.7500,3,12.055500,1,0.735300,0
2024-07-01,sh.688530,20.5100,20.8500,19.8100,20.3400,20.5500,3802387,76563251.3900,3,12.638400,1,-1.021900,0
2024-07-02,sh.688530,20.2400,20.4300,19.6200,19.6500,20.3400,2810101,56044321.5800,3,9.340200,1,-3.392300,0
2024-07-03,sh.688530,19.7000,20.0700,19.1700,19.7100,19.6500,3596562,70526067.6400,3,11.954300,1,0.305300,0
2024-07-04,sh.688530,19.6000,19.9400,18.9100,18.9200,19.7100,3023904,58327014.6600,3,10.050900,1,-4.008100,0
2024-07-05,sh.688530,18.8100,19.2800,18.6700,18.9500,18.9200,2343986,44347073.2800,3,7.791000,1,0.158600,0
2024-07-08,sh.688530,19.0000,19.7000,18.9200,19.1000,18.9500,3181401,61448420.1900,3,10.574400,1,0.791600,0
2024-07-09,sh.688530,18.7800,19.8500,18.7800,19.7100,19.1000,3625717,70522438.9900,3,12.051200,1,3.193700,0
