date,open,close,high,low,vol,amount,date,code
2020-01-17,30.53,35.3,36.5,28.75,298763.0,921926528.0,2020-01-17,688278
2020-01-20,32.5,42.85,48.44,31.99,242604.0,940436032.0,2020-01-20,688278
2020-01-21,44.0,49.4,51.0,43.1,184339.0,882266112.0,2020-01-21,688278
2020-01-22,49.99,43.15,49.99,40.01,117585.0,529235936.0,2020-01-22,688278
2020-01-23,44.99,42.16,47.08,40.03,82683.0,361365568.0,2020-01-23,688278
2020-02-03,36.3,49.08,49.94,36.3,149409.0,661125760.0,2020-02-03,688278
2020-02-04,45.01,47.8,52.99,42.0,138391.0,662494016.0,2020-02-04,688278
2020-02-05,46.53,49.23,51.29,46.03,116414.0,568072960.0,2020-02-05,688278
2020-02-06,51.0,48.84,54.0,48.8,121967.0,630210816.0,2020-02-06,688278
2020-02-07,47.0,46.9,49.5,45.01,89676.0,422920736.0,2020-02-07,688278
2020-02-10,47.1,43.65,47.4,43.0,69385.0,306362976.0,2020-02-10,688278
2020-02-11,43.7,41.06,43.85,40.46,53598.0,223328480.0,2020-02-11,688278
2020-02-12,41.2,43.41,43.45,41.2,53410.0,228692976.0,2020-02-12,688278
2020-02-13,42.45,42.2,43.59,40.9,52024.0,218653136.0,2020-02-13,688278
2020-02-14,43.5,42.56,45.52,41.68,44764.0,194787968.0,2020-02-14,688278
2020-02-17,41.58,42.74,42.78,41.2,39253.0,165744272.0,2020-02-17,688278
2020-02-18,42.81,41.6,43.37,41.2,46088.0,193326528.0,2020-02-18,688278
2020-02-19,41.66,39.04,42.5,39.0,45099.0,181304224.0,2020-02-19,688278
2020-02-20,39.11,37.0,39.5,36.88,49500.0,185476240.0,2020-02-20,688278
2020-02-21,37.03,37.58,38.48,36.1,31431.0,118020768.0,2020-02-21,688278
2020-02-24,38.52,39.05,39.88,38.0,39435.0,154046000.0,2020-02-24,688278
2020-02-25,38.1,39.42,40.58,38.03,47451.0,187498608.0,2020-02-25,688278
2020-02-26,39.42,36.87,39.52,36.5,37254.0,140369888.0,2020-02-26,688278
2020-02-27,37.61,34.7,37.75,34.3,33142.0,117058408.0,2020-02-27,688278
2020-02-28,34.3,35.38,36.5,32.24,43500.0,152840400.0,2020-02-28,688278
2020-03-02,36.06,36.11,36.4,34.58,31527.0,113152704.0,2020-03-02,688278
2020-03-03,36.85,37.56,39.38,36.85,41764.0,159076736.0,2020-03-03,688278
2020-03-04,37.1,38.6,39.25,36.51,45133.0,173526928.0,2020-03-04,688278
2020-03-05,38.6,38.03,38.64,37.55,32272.0,122907392.0,2020-03-05,688278
2020-03-06,37.73,38.08,38.95,37.5,26768.0,102663504.0,2020-03-06,688278
2020-03-09,37.28,35.56,37.5,35.5,28974.0,104872864.0,2020-03-09,688278
2020-03-10,34.5,36.1,36.24,34.1,21662.0,76399400.0,2020-03-10,688278
2020-03-11,36.5,34.85,36.5,34.75,16923.0,60350208.0,2020-03-11,688278
2020-03-12,34.88,34.78,35.75,34.5,13787.0,48400852.0,2020-03-12,688278
2020-03-13,33.44,33.1,34.02,32.01,21414.0,70573416.0,2020-03-13,688278
2020-03-16,33.12,31.81,34.49,31.72,15082.0,49902836.0,2020-03-16,688278
2020-03-17,31.8,30.37,32.61,29.13,21181.0,63947196.0,2020-03-17,688278
2020-03-18,30.75,29.73,31.31,29.51,15559.0,47614208.0,2020-03-18,688278
2020-03-19,29.75,30.03,30.39,28.52,17655.0,51867664.0,2020-03-19,688278
2020-03-20,30.63,30.3,30.95,30.08,12716.0,38670108.0,2020-03-20,688278
2020-03-23,30.0,28.99,30.0,28.6,11707.0,34044932.0,2020-03-23,688278
2020-03-24,29.78,29.5,29.89,28.73,10384.0,30456932.0,2020-03-24,688278
2020-03-25,30.63,30.37,30.73,30.01,13183.0,39977896.0,2020-03-25,688278
2020-03-26,30.2,31.83,32.97,29.76,24153.0,76326408.0,2020-03-26,688278
2020-03-27,31.79,30.7,32.93,30.62,19750.0,62885212.0,2020-03-27,688278
2020-03-30,30.88,29.42,31.3,28.76,13685.0,40125232.0,2020-03-30,688278
2020-03-31,29.6,29.3,30.03,29.0,8054.0,23707188.0,2020-03-31,688278
2020-04-01,29.24,29.1,29.62,28.8,9626.0,28102250.0,2020-04-01,688278
2020-04-02,29.0,29.69,29.69,28.8,8772.0,25711664.0,2020-04-02,688278
2020-04-03,29.99,30.1,31.11,29.88,13784.0,41975080.0,2020-04-03,688278
2020-04-07,30.7,31.06,31.36,30.33,12985.0,40029692.0,2020-04-07,688278
2020-04-08,31.3,31.5,32.6,31.08,16947.0,53842556.0,2020-04-08,688278
2020-04-09,31.43,31.25,31.97,31.03,10022.0,31321396.0,2020-04-09,688278
2020-04-10,31.4,29.82,31.45,29.7,11847.0,35913176.0,2020-04-10,688278
2020-04-13,29.7,29.41,30.09,29.36,5814.0,17238508.0,2020-04-13,688278
2020-04-14,29.7,30.33,30.35,29.66,8316.0,25031082.0,2020-04-14,688278
2020-04-15,30.15,30.88,31.15,30.15,12805.0,39505680.0,2020-04-15,688278
